FindingID	Family	Group	Color	New	Check	Information	Function	File	Status	Severity	Comment	URL
45790	Defect	Data flow	Red	no	Non-initialized pointer	Impact: High	convert_links_in_hashtable()	C:\My_Drive\Wget\Wget_Repository\Wget\src\convert.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45790
45832	Defect	Static memory	Red	no	Null pointer	Impact: High	ssl_check_certificate()	C:\My_Drive\Wget\Wget_Repository\Wget\src\gnutls.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45832
45834	Defect	Data flow	Red	no	Non-initialized pointer	Impact: High	lookup_host()	C:\My_Drive\Wget\Wget_Repository\Wget\src\host.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45834
45847	Defect	Data flow	Red	no	Non-initialized variable	Impact: High	get_file_flags()	C:\My_Drive\Wget\Wget_Repository\Wget\src\http.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45847
45855	Defect	Programming	Red	no	Assertion	Impact: High	setval_internal()	C:\My_Drive\Wget\Wget_Repository\Wget\src\init.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45855
45666	Defect	Resource management	Red	no	Resource leak	Impact: High	main()	C:\My_Drive\Wget\Wget_Repository\Wget\src\main.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45666
45861	Defect	Resource management	Red	no	Resource leak	Impact: High	main()	C:\My_Drive\Wget\Wget_Repository\Wget\src\main.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45861
45863	Defect	Resource management	Red	no	Resource leak	Impact: High	main()	C:\My_Drive\Wget\Wget_Repository\Wget\src\main.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45863
45889	Defect	Static memory	Red	no	Pointer access out of bounds	Impact: High	res_parse()	C:\My_Drive\Wget\Wget_Repository\Wget\src\res.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45889
45892	Defect	Static memory	Red	no	Pointer access out of bounds	Impact: High	res_parse()	C:\My_Drive\Wget\Wget_Repository\Wget\src\res.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45892
45898	Defect	Static memory	Red	no	Array access out of bounds	Impact: High	retr_rate()	C:\My_Drive\Wget\Wget_Repository\Wget\src\retr.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45898
45900	Defect	Static memory	Red	no	Array access out of bounds	Impact: High	retr_rate()	C:\My_Drive\Wget\Wget_Repository\Wget\src\retr.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45900
45902	Defect	Programming	Red	no	Assertion	Impact: High	url_error()	C:\My_Drive\Wget\Wget_Repository\Wget\src\url.c	Unreviewed	Unset		http://BGL-PMATHAPA:8085/metrics/index.html?a=review&p=66&r=58&fid=45902
